ac,eng,mass,distance,fuel
e195,CFM56-5A3,39350,1873,4100
e195,CFM56-5A3,39350,2152,4700
e195,CFM56-5A3,39350,2431,5290
e195,CFM56-5A3,39350,2710,5890
e195,CFM56-5A3,40190,757,1720
e195,CFM56-5A3,40190,1036,2330
e195,CFM56-5A3,40190,1315,2930
e195,CFM56-5A3,40190,1594,3540
e195,CFM56-5A3,40190,1873,4140
e195,CFM56-5A3,40190,2152,4740
e195,CFM56-5A3,40190,2431,5340
e195,CFM56-5A3,40190,2710,5940
e195,CFM56-5A3,41030,1036,2350
e195,CFM56-5A3,41030,1315,2960
e195,CFM56-5A3,41030,1594,3570
e195,CFM56-5A3,41030,1873,4180
e195,CFM56-5A3,41030,2152,4780
e195,CFM56-5A3,41030,2431,5390
e195,CFM56-5A3,41030,2710,5990
e195,CFM56-5A3,41870,1315,2990
e195,CFM56-5A3,41870,1594,3600
e195,CFM56-5A3,41870,1873,4220
e195,CFM56-5A3,41870,2152,4830
e195,CFM56-5A3,41870,2431,5450
e195,CFM56-5A3,41870,2710,6040
e195,CFM56-5A3,42710,1036,2390
e195,CFM56-5A3,42710,1315,3010
e195,CFM56-5A3,42710,1594,3640
e195,CFM56-5A3,42710,1873,4260
e195,CFM56-5A3,42710,2152,4880
e195,CFM56-5A3,42710,2431,5510
e195,CFM56-5A3,42710,2710,6100
e195,CFM56-5A3,43550,1036,2410
e195,CFM56-5A3,43550,1315,3060
e195,CFM56-5A3,43550,1594,3680
e195,CFM56-5A3,43550,1873,4310
e195,CFM56-5A3,43550,2152,4940
e195,CFM56-5A3,43550,2431,5560
e195,CFM56-5A3,43550,2710,6160
e195,CFM56-5A3,44390,757,1800
e195,CFM56-5A3,44390,1036,2450
e195,CFM56-5A3,44390,1315,3080
e195,CFM56-5A3,44390,1594,3720
e195,CFM56-5A3,44390,1873,4360
e195,CFM56-5A3,44390,2152,4990
e195,CFM56-5A3,44390,2431,5610
e195,CFM56-5A3,44390,2710,6220
e195,CFM56-5A3,45230,1315,3120
e195,CFM56-5A3,45230,1594,3770
e195,CFM56-5A3,45230,1873,4400
e195,CFM56-5A3,45230,2152,5040
e195,CFM56-5A3,45230,2431,5670
e195,CFM56-5A3,45230,2710,6270
e195,CFM56-5A3,46080,1315,3160
e195,CFM56-5A3,46080,1594,3800
e195,CFM56-5A3,46080,1873,4450
e195,CFM56-5A3,46080,2152,5080
e195,CFM56-5A3,46080,2431,5710
e195,CFM56-5A3,46080,2710,6330
e195,CFM56-5A3,46920,1315,3170
e195,CFM56-5A3,46920,1594,3830
e195,CFM56-5A3,46920,1873,4480
e195,CFM56-5A3,46920,2152,5130
e195,CFM56-5A3,46920,2431,5760
e195,CFM56-5A3,46920,2710,6380
