ac,eng,mass,distance,fuel
b744,CFM56-5B4,310430,11333,129180
b744,CFM56-5B4,319590,5766,79370
b744,CFM56-5B4,319590,7158,95230
b744,CFM56-5B4,319590,8550,106390
b744,CFM56-5B4,319590,9941,120240
b744,CFM56-5B4,319590,11333,132850
b744,CFM56-5B4,319590,12725,144910
b744,CFM56-5B4,328740,5766,82100
b744,CFM56-5B4,328740,7158,98230
b744,CFM56-5B4,328740,8550,109770
b744,CFM56-5B4,328740,9941,123470
b744,CFM56-5B4,328740,11333,136310
b744,CFM56-5B4,328740,12725,148540
b744,CFM56-5B4,337900,7158,101060
b744,CFM56-5B4,337900,8550,113030
b744,CFM56-5B4,337900,9941,126780
b744,CFM56-5B4,337900,11333,139840
b744,CFM56-5B4,337900,12725,152280
b744,CFM56-5B4,347060,7158,103970
b744,CFM56-5B4,347060,8550,116240
b744,CFM56-5B4,347060,9941,130210
b744,CFM56-5B4,347060,11333,143450
b744,CFM56-5B4,347060,12725,155990
b744,CFM56-5B4,356210,8550,119700
b744,CFM56-5B4,356210,9941,133740
b744,CFM56-5B4,356210,11333,147160
b744,CFM56-5B4,356210,12725,159610
b744,CFM56-5B4,365370,8550,119950
b744,CFM56-5B4,365370,9941,137380
b744,CFM56-5B4,365370,11333,150860
b744,CFM56-5B4,365370,12725,163260
b744,CFM56-5B5,218880,1591,16570
b744,CFM56-5B5,218880,2983,30660
b744,CFM56-5B5,228040,1591,16940
b744,CFM56-5B5,228040,2983,31620
b744,CFM56-5B5,228040,4375,45830
b744,CFM56-5B5,237190,1591,17320
b744,CFM56-5B5,237190,2983,32300
b744,CFM56-5B5,237190,4375,46890
b744,CFM56-5B5,246350,1591,17710
b744,CFM56-5B5,246350,2983,33010
b744,CFM56-5B5,246350,4375,47800
b744,CFM56-5B5,255500,1591,18130
b744,CFM56-5B5,255500,2983,33760
b744,CFM56-5B5,255500,4375,48840
b744,CFM56-5B5,264660,1591,18570
b744,CFM56-5B5,264660,2983,34540
b744,CFM56-5B5,264660,4375,49930
b744,CFM56-5B5,264660,5766,64740
b744,CFM56-5B5,264660,7158,81450
b744,CFM56-5B5,273810,1591,19040
b744,CFM56-5B5,273810,2983,35370
b744,CFM56-5B5,273810,4375,51070
b744,CFM56-5B5,273810,5766,65680
b744,CFM56-5B5,273810,7158,83350
b744,CFM56-5B5,282970,2983,36260
b744,CFM56-5B5,282970,4375,52300
b744,CFM56-5B5,282970,5766,67700
b744,CFM56-5B5,292120,2983,37230
b744,CFM56-5B5,292120,4375,53620
b744,CFM56-5B5,292120,5766,69320
b744,CFM56-5B5,292120,7158,84410
b744,CFM56-5B5,292120,8550,101580
b744,CFM56-5B5,301280,4375,55070
b744,CFM56-5B5,301280,5766,71090
b744,CFM56-5B5,301280,9941,120020
b744,CFM56-5B5,310430,4375,56680
b744,CFM56-5B5,310430,5766,73040
b744,CFM56-5B5,310430,7158,87940
b744,CFM56-5B5,310430,8550,109640
b744,CFM56-5B5,319590,5766,75240
b744,CFM56-5B5,319590,7158,91190
b744,CFM56-5B5,319590,8550,110440
b744,CFM56-5B5,319590,9941,125950
b744,CFM56-5B5,319590,11333,139280
b744,CFM56-5B5,328740,5766,77770
b744,CFM56-5B5,328740,7158,93160
b744,CFM56-5B5,328740,8550,113400
b744,CFM56-5B5,328740,9941,128950
b744,CFM56-5B5,328740,11333,142690
b744,CFM56-5B5,337900,7158,97370
b744,CFM56-5B5,337900,8550,116250
b744,CFM56-5B5,337900,9941,128980
b744,CFM56-5B5,337900,11333,146040
b744,CFM56-5B5,337900,12725,159140
b744,CFM56-5B5,347060,7158,101090
b744,CFM56-5B5,347060,8550,119470
b744,CFM56-5B5,347060,9941,132700
b744,CFM56-5B5,347060,11333,148970
b744,CFM56-5B5,347060,12725,162530
b744,CFM56-5B6,218880,1591,17560
b744,CFM56-5B6,218880,2983,31850
b744,CFM56-5B6,228040,1591,18050
b744,CFM56-5B6,228040,2983,32770
b744,CFM56-5B6,237190,1591,18450
b744,CFM56-5B6,237190,2983,33730
b744,CFM56-5B6,237190,4375,48600
b744,CFM56-5B6,246350,1591,18890
b744,CFM56-5B6,246350,2983,34760
b744,CFM56-5B6,246350,4375,50280
b744,CFM56-5B6,246350,5766,65450
b744,CFM56-5B6,255500,2983,35700
b744,CFM56-5B6,255500,4375,52130
b744,CFM56-5B6,255500,5766,67780
b744,CFM56-5B6,264660,1591,19790
b744,CFM56-5B6,264660,2983,36200
b744,CFM56-5B6,264660,4375,54220
b744,CFM56-5B6,264660,5766,70410
b744,CFM56-5B6,264660,7158,85810
b744,CFM56-5B6,273810,2983,37090
b744,CFM56-5B6,273810,4375,54710
b744,CFM56-5B6,273810,5766,73430
b744,CFM56-5B6,273810,7158,88660
b744,CFM56-5B6,282970,2983,38090
b744,CFM56-5B6,282970,4375,56130
b744,CFM56-5B6,282970,5766,75660
b744,CFM56-5B6,282970,7158,91190
b744,CFM56-5B6,282970,8550,103070
b744,CFM56-5B6,292120,2983,39420
b744,CFM56-5B6,292120,4375,57170
b744,CFM56-5B6,292120,5766,77830
b744,CFM56-5B6,292120,7158,94000
b744,CFM56-5B6,292120,8550,105710
b744,CFM56-5B6,301280,4375,58960
b744,CFM56-5B6,301280,5766,80490
b744,CFM56-5B6,301280,7158,96690
b744,CFM56-5B6,301280,8550,107770
b744,CFM56-5B6,301280,9941,123060
b744,CFM56-5B6,310430,4375,58870
b744,CFM56-5B6,310430,5766,82990
b744,CFM56-5B6,310430,7158,99330
b744,CFM56-5B6,310430,8550,111640
b744,CFM56-5B6,310430,9941,126670
b744,CFM56-5B6,319590,5766,80150
b744,CFM56-5B6,319590,7158,102060
b744,CFM56-5B6,319590,8550,115200
b744,CFM56-5B6,319590,9941,129710
b744,CFM56-5B6,319590,11333,143530
b744,CFM56-5B6,328740,5766,80680
b744,CFM56-5B6,328740,7158,103870
b744,CFM56-5B6,328740,8550,118060
b744,CFM56-5B6,328740,9941,132830
b744,CFM56-5B6,328740,11333,146860
b744,CFM56-5B6,337900,7158,106320
b744,CFM56-5B6,337900,8550,121070
b744,CFM56-5B6,337900,9941,136000
b744,CFM56-5B6,337900,11333,150260
b744,CFM56-5B6,347060,7158,103040
b744,CFM56-5B6,347060,8550,123780
b744,CFM56-5B6,347060,9941,139260
b744,CFM56-5B6,347060,11333,153710
b744,CFM56-5B6,347060,12725,167450
b744,CFM56-5B6,356210,7158,106080
b744,CFM56-5B6,356210,8550,125760
