ac,eng,mass,distance,fuel
a21n,CFM56-5A3,84650,2968,8630
a21n,CFM56-5A3,84650,3429,10220
a21n,CFM56-5A3,84650,3890,11850
a21n,CFM56-5A3,84650,4352,13400
a21n,CFM56-5A3,86550,3429,10380
a21n,CFM56-5A3,86550,3890,12050
a21n,CFM56-5A3,86550,4352,13650
a21n,CFM56-5A3,88440,3890,12240
a21n,CFM56-5A3,88440,4352,13900
a21n,CFM56-5B4,60000,661,1630
a21n,CFM56-5B4,60000,1122,2700
a21n,CFM56-5B4,60000,1584,3770
a21n,CFM56-5B4,60000,2045,4830
a21n,CFM56-5B4,60000,2506,5900
a21n,CFM56-5B4,60000,2968,6940
a21n,CFM56-5B4,60000,3429,7950
a21n,CFM56-5B4,60000,3890,8960
a21n,CFM56-5B4,60000,4352,9960
a21n,CFM56-5B4,61900,1122,2740
a21n,CFM56-5B4,61900,1584,3820
a21n,CFM56-5B4,61900,2045,4910
a21n,CFM56-5B4,61900,2506,6020
a21n,CFM56-5B4,61900,2968,7050
a21n,CFM56-5B4,61900,3429,8070
a21n,CFM56-5B4,61900,3890,9100
a21n,CFM56-5B4,61900,4352,10110
a21n,CFM56-5B4,63790,661,1670
a21n,CFM56-5B4,63790,1122,2780
a21n,CFM56-5B4,63790,1584,3890
a21n,CFM56-5B4,63790,2045,5000
a21n,CFM56-5B4,63790,2506,6110
a21n,CFM56-5B4,63790,2968,7150
a21n,CFM56-5B4,63790,3429,8190
a21n,CFM56-5B4,63790,3890,9230
a21n,CFM56-5B4,63790,4352,10300
a21n,CFM56-5B4,65690,661,1690
a21n,CFM56-5B4,65690,1122,2820
a21n,CFM56-5B4,65690,1584,3950
a21n,CFM56-5B4,65690,2045,5100
a21n,CFM56-5B4,65690,2506,6200
a21n,CFM56-5B4,65690,2968,7260
a21n,CFM56-5B4,65690,3429,8310
a21n,CFM56-5B4,65690,3890,9370
a21n,CFM56-5B4,65690,4352,10490
a21n,CFM56-5B4,67590,661,1710
a21n,CFM56-5B4,67590,1122,2860
a21n,CFM56-5B4,67590,1584,4010
a21n,CFM56-5B4,67590,2045,5190
a21n,CFM56-5B4,67590,2506,6270
a21n,CFM56-5B4,67590,2968,7350
a21n,CFM56-5B4,67590,3429,8420
a21n,CFM56-5B4,67590,3890,9510
a21n,CFM56-5B4,67590,4352,10690
a21n,CFM56-5B4,69480,661,1740
a21n,CFM56-5B4,69480,1122,2900
a21n,CFM56-5B4,69480,1584,4090
a21n,CFM56-5B4,69480,2045,5260
a21n,CFM56-5B4,69480,2506,6340
a21n,CFM56-5B4,69480,2968,7430
a21n,CFM56-5B4,69480,3429,8510
a21n,CFM56-5B4,69480,3890,9640
a21n,CFM56-5B4,69480,4352,10870
a21n,CFM56-5B4,71380,661,1760
a21n,CFM56-5B4,71380,1122,2950
a21n,CFM56-5B4,71380,2045,5330
a21n,CFM56-5B4,71380,2506,6420
a21n,CFM56-5B4,71380,2968,7520
a21n,CFM56-5B4,71380,3429,8610
a21n,CFM56-5B4,71380,3890,9800
a21n,CFM56-5B4,71380,4352,11060
a21n,CFM56-5B4,73270,661,1790
a21n,CFM56-5B4,73270,1122,3020
a21n,CFM56-5B4,73270,1584,4220
a21n,CFM56-5B4,73270,2045,5390
a21n,CFM56-5B4,73270,2506,6500
a21n,CFM56-5B4,73270,2968,7610
a21n,CFM56-5B4,73270,3429,8710
a21n,CFM56-5B4,73270,3890,9950
a21n,CFM56-5B4,73270,4352,11260
a21n,CFM56-5B4,75170,661,1830
a21n,CFM56-5B4,75170,1122,3060
a21n,CFM56-5B4,75170,1584,4270
a21n,CFM56-5B4,75170,2045,5460
a21n,CFM56-5B4,75170,2506,6570
a21n,CFM56-5B4,75170,2968,7690
a21n,CFM56-5B4,75170,3429,8820
a21n,CFM56-5B4,75170,3890,10120
a21n,CFM56-5B4,75170,4352,11460
a21n,CFM56-5B4,77070,661,1860
a21n,CFM56-5B4,77070,1584,4330
a21n,CFM56-5B4,77070,2045,5520
a21n,CFM56-5B4,77070,2506,6650
a21n,CFM56-5B4,77070,2968,7780
a21n,CFM56-5B4,77070,3429,8950
a21n,CFM56-5B4,77070,3890,10290
a21n,CFM56-5B4,77070,4352,11670
a21n,CFM56-5B4,78960,661,1880
a21n,CFM56-5B4,78960,1122,3140
a21n,CFM56-5B4,78960,1584,4390
a21n,CFM56-5B4,78960,2045,5580
a21n,CFM56-5B4,78960,3429,9090
a21n,CFM56-5B4,78960,3890,10470
a21n,CFM56-5B4,78960,4352,11890
a21n,CFM56-5B4,80860,1584,4450
a21n,CFM56-5B4,80860,2045,5650
a21n,CFM56-5B4,80860,2506,6800
a21n,CFM56-5B4,80860,2968,7950
a21n,CFM56-5B4,80860,3429,9240
a21n,CFM56-5B4,80860,3890,10650
a21n,CFM56-5B4,80860,4352,12110
a21n,CFM56-5B4,82760,2045,5710
a21n,CFM56-5B4,82760,2506,6880
a21n,CFM56-5B4,82760,2968,8090
a21n,CFM56-5B4,82760,3429,9390
a21n,CFM56-5B4,82760,3890,10840
a21n,CFM56-5B4,82760,4352,12320
a21n,CFM56-5B4,84650,2968,8260
a21n,CFM56-5B4,84650,3429,9580
a21n,CFM56-5B4,84650,3890,11040
a21n,CFM56-5B4,84650,4352,12530
a21n,CFM56-5B4,86550,3429,9790
a21n,CFM56-5B4,86550,3890,11220
a21n,CFM56-5B4,86550,4352,12740
a21n,CFM56-5B4,88440,4352,12960
a21n,CFM56-5B5,60000,1122,2750
a21n,CFM56-5B5,60000,1584,3850
a21n,CFM56-5B5,60000,2045,4950
a21n,CFM56-5B5,60000,2506,6030
a21n,CFM56-5B5,60000,2968,7130
a21n,CFM56-5B5,60000,3429,8170
a21n,CFM56-5B5,60000,3890,9220
a21n,CFM56-5B5,61900,1122,2790
a21n,CFM56-5B5,61900,1584,3910
a21n,CFM56-5B5,61900,2045,5020
a21n,CFM56-5B5,61900,2506,6140
a21n,CFM56-5B5,61900,2968,7240
a21n,CFM56-5B5,61900,3429,8300
a21n,CFM56-5B5,61900,3890,9360
a21n,CFM56-5B5,61900,4352,10480
a21n,CFM56-5B5,63790,1584,3960
a21n,CFM56-5B5,63790,2045,5090
a21n,CFM56-5B5,63790,2968,7340
a21n,CFM56-5B5,63790,3429,8420
a21n,CFM56-5B5,63790,3890,9510
a21n,CFM56-5B5,63790,4352,10700
a21n,CFM56-5B5,65690,1584,4020
a21n,CFM56-5B5,65690,2045,5170
a21n,CFM56-5B5,65690,2506,6330
a21n,CFM56-5B5,65690,2968,7420
a21n,CFM56-5B5,65690,3429,8520
a21n,CFM56-5B5,65690,3890,9690
a21n,CFM56-5B5,65690,4352,10940
a21n,CFM56-5B5,67590,1584,4080
a21n,CFM56-5B5,67590,2045,5260
a21n,CFM56-5B5,67590,2506,6400
a21n,CFM56-5B5,67590,2968,7510
a21n,CFM56-5B5,67590,3429,8620
a21n,CFM56-5B5,67590,3890,9840
a21n,CFM56-5B5,67590,4352,11160
a21n,CFM56-5B5,69480,1584,4150
a21n,CFM56-5B5,69480,2045,5360
a21n,CFM56-5B5,69480,2506,6480
a21n,CFM56-5B5,69480,2968,7600
a21n,CFM56-5B5,69480,3429,8720
a21n,CFM56-5B5,69480,3890,10010
a21n,CFM56-5B5,69480,4352,11350
a21n,CFM56-5B5,71380,1584,4200
a21n,CFM56-5B5,71380,2045,5420
a21n,CFM56-5B5,71380,2506,6550
a21n,CFM56-5B5,71380,2968,7690
a21n,CFM56-5B5,71380,3429,8870
a21n,CFM56-5B5,71380,3890,10200
a21n,CFM56-5B5,71380,4352,11590
a21n,CFM56-5B5,73270,2045,5480
a21n,CFM56-5B5,73270,2506,6630
a21n,CFM56-5B5,73270,2968,7770
a21n,CFM56-5B5,73270,3429,9010
a21n,CFM56-5B5,73270,3890,10380
a21n,CFM56-5B5,73270,4352,11820
a21n,CFM56-5B5,75170,1584,4400
a21n,CFM56-5B5,75170,2045,5540
a21n,CFM56-5B5,75170,2506,6700
a21n,CFM56-5B5,75170,2968,7860
a21n,CFM56-5B5,75170,3429,9170
a21n,CFM56-5B5,75170,3890,10570
a21n,CFM56-5B5,75170,4352,12060
a21n,CFM56-5B5,77070,2045,5600
a21n,CFM56-5B5,77070,2506,6770
a21n,CFM56-5B5,77070,2968,7940
a21n,CFM56-5B5,77070,3429,9330
a21n,CFM56-5B5,77070,3890,10790
a21n,CFM56-5B5,77070,4352,12300
a21n,CFM56-5B5,78960,1584,4630
a21n,CFM56-5B5,78960,2045,5670
a21n,CFM56-5B5,78960,2506,6850
a21n,CFM56-5B5,78960,2968,8080
a21n,CFM56-5B5,78960,3429,9500
a21n,CFM56-5B5,78960,3890,11000
a21n,CFM56-5B5,78960,4352,12510
a21n,CFM56-5B5,80860,1584,4710
a21n,CFM56-5B5,80860,2045,5980
a21n,CFM56-5B5,80860,2506,6930
a21n,CFM56-5B5,80860,2968,8210
a21n,CFM56-5B5,80860,3429,9670
a21n,CFM56-5B5,80860,3890,11230
a21n,CFM56-5B5,80860,4352,12730
a21n,CFM56-5B5,82760,2045,6150
a21n,CFM56-5B5,82760,2506,6990
a21n,CFM56-5B5,82760,2968,8340
a21n,CFM56-5B5,82760,3429,9850
a21n,CFM56-5B5,82760,3890,11440
a21n,CFM56-5B5,82760,4352,12960
a21n,CFM56-5B5,84650,2506,7530
a21n,CFM56-5B5,84650,2968,8480
a21n,CFM56-5B5,84650,3429,10040
a21n,CFM56-5B5,84650,3890,11630
a21n,CFM56-5B5,84650,4352,13200
a21n,CFM56-5B5,86550,3429,10210
a21n,CFM56-5B5,86550,3890,11830
a21n,CFM56-5B5,86550,4352,13450
a21n,CFM56-5B5,88440,3890,12030
a21n,CFM56-5B5,88440,4352,13740
a21n,CFM56-5B6,60000,1122,3020
a21n,CFM56-5B6,60000,1584,4230
a21n,CFM56-5B6,60000,2045,5430
a21n,CFM56-5B6,60000,2506,6630
a21n,CFM56-5B6,60000,2968,7810
a21n,CFM56-5B6,60000,3429,8950
a21n,CFM56-5B6,61900,661,1830
a21n,CFM56-5B6,61900,1122,3070
a21n,CFM56-5B6,61900,1584,4300
a21n,CFM56-5B6,61900,2045,5520
a21n,CFM56-5B6,61900,2506,6760
a21n,CFM56-5B6,61900,2968,7930
a21n,CFM56-5B6,61900,3429,9080
a21n,CFM56-5B6,61900,3890,10240
a21n,CFM56-5B6,61900,4352,11400
a21n,CFM56-5B6,63790,1122,3110
a21n,CFM56-5B6,63790,1584,4360
